Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Sergi Dominguez;es ESP;DF;20;0.0;2;172.0;1.9;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;1.0;0.0;Barcelona;0.0;0.0;0.0;0.0;9.0;0;Aucun;;;;;;;
Daniel Rodriguez;es ESP;FW;19;0.0;1;37.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;9.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Ander Astralaga;es ESP;GK;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Álvaro Cortés;es ESP;DF;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Andres Cuenca;es ESP;DF;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Noah Darvich;de GER;MF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Landry Farré;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Guillermo Fernandez;es ESP;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Toni Fernández;es ESP;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Diego Kochen;us USA;GK;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Alexis Olmedo;es ESP;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Álex Valle;es ESP;DF;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Áron Yaakobishvili;hu HUN;GK;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Joško Gvardiol;hr CRO;DF;23;0.0;34;3097.0;34.4;5.0;0.0;5.0;5.0;0.0;0.0;2.0;0.0;4.4;4.1;2.0;6.1;87.0;256.0;112.0;0.15;Manchester City;0.145301905069422;0.1278656764610914;0.0581207620277688;0.1859864384888602;8.0;0;Aucun;;;;;;;
Erling Haaland;no NOR;FW;24;0.0;29;2570.0;28.6;21.0;3.0;24.0;19.0;2.0;3.0;2.0;0.0;20.9;18.5;2.9;21.4;20.0;18.0;110.0;0.77;Manchester City;0.735408560311284;0.7319066147859922;0.101556420233463;0.8334630350194551;8.0;0;Aucun;;;8.9;5.0;9.7;0.0;4.1
Bernardo Silva;pt POR;MF,FW;30;0.0;27;2491.0;27.7;3.0;4.0;7.0;3.0;0.0;0.0;7.0;0.0;3.6;3.6;4.4;8.0;98.0;122.0;191.0;0.25;Manchester City;0.1083902047370534;0.130068245684464;0.1589723002810116;0.2890405459654757;3.0;0;Aucun;;;8.5;5.0;8.5;0.0;4.8
Ederson;br BRA;GK;31;0.0;24;2140.0;23.8;0.0;4.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.5;1.5;0.0;2.0;0.0;0.17;Manchester City;0.0;0.0;0.0630841121495327;0.0630841121495327;7.0;0;Aucun;;;;;;;
Mateo Kovačić;hr CRO;MF;31;0.0;24;2132.0;23.7;6.0;1.0;7.0;6.0;0.0;0.0;5.0;0.0;1.9;1.9;3.6;5.4;54.0;156.0;15.0;0.3;Manchester City;0.2532833020637898;0.0802063789868667;0.1519699812382739;0.2321763602251407;5.0;0;Aucun;;;;;;;
Rúben Dias;pt POR;DF;28;0.0;23;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.5;1.5;0.3;1.8;38.0;143.0;8.0;0.0;Manchester City;0.0;0.0645624103299856;0.0129124820659971;0.0774748923959827;6.0;0;Aucun;;;;;;;
İlkay Gündoğan;de GER;MF;34;0.0;23;2050.0;22.8;0.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;2.7;2.7;2.8;5.5;57.0;115.0;86.0;0.22;Manchester City;0.0;0.1185365853658536;0.1229268292682926;0.2414634146341463;9.0;0;Aucun;;;;;;;
Rico Lewis;eng ENG;DF,MF;20;0.0;21;1893.0;21.0;1.0;2.0;3.0;1.0;0.0;0.0;5.0;1.0;1.4;1.4;0.3;1.7;39.0;107.0;78.0;0.14;Manchester City;0.0475435816164817;0.0665610142630744;0.0142630744849445;0.080824088748019;2.0;0;Aucun;;;;;;;
